"YEAR","CASEID","PERNUM","LINENO","WT06","OCC2_CPS8","IND2_CPS8","IND_CPS8","WRKHOMEABLE"
2018,20180101181365,1,1,4284417.260682000,9999,9999,99999,99
2018,20180101181371,1,1,1913077.221530000,9999,9999,99999,99
2018,20180101181392,1,1,4389153.681703000,9999,9999,99999,99
2018,20180101181394,1,1,2723487.674269000,110,200,6970,99
2018,20180101181414,1,1,10183761.97151500,9999,9999,99999,99
2018,20180101181421,1,1,18264671.17274000,9999,9999,99999,99
2018,20180101181443,1,1,5974464.382246000,125,240,7860,0
2018,20180101181449,1,1,1589728.883312000,9999,9999,99999,99
2018,20180101181460,1,1,8222964.597188000,9999,9999,99999,99
2018,20180101181465,1,1,6238188.330843000,180,240,7870,0
2018,20180101181474,1,1,3158851.778655000,140,101,280,99
2018,20180101181493,1,1,5493713.003035000,127,250,8190,99
2018,20180101181495,1,1,3031832.801176000,9999,9999,99999,99
2018,20180101181502,1,1,3402290.433902000,111,132,3190,0
2018,20180101181505,1,1,7130617.840836000,9999,9999,99999,99
2018,20180101181511,1,1,26588745.66330200,150,170,6380,0
2018,20180101181513,1,1,5471979.377223000,150,260,8570,0
2018,20180101181517,1,1,13340739.60398300,9999,9999,99999,99
2018,20180101181536,1,1,9719867.897639000,124,300,9480,1
2018,20180101181543,1,1,8053305.156778000,9999,9999,99999,99
2018,20180101181549,1,1,33050129.51246000,133,300,9590,0
2018,20180101181551,1,1,13851467.22531900,134,251,8170,1
2018,20180101181557,1,1,26905469.01457900,111,231,7580,0
2018,20180101181564,1,1,8161354.478084000,150,250,8190,1
2018,20180101181567,1,1,4365313.731997000,110,271,8680,0
2018,20180101181593,1,1,4731843.067466000,150,300,9370,1
2018,20180101181602,1,1,4061072.753538000,9999,9999,99999,99
2018,20180101181640,1,1,7376911.175520000,111,200,6870,0
2018,20180101181641,1,1,6064917.337451000,9999,9999,99999,99
2018,20180101181648,1,1,6286601.406883000,140,160,5490,99
2018,20180101181655,1,1,8647175.755560000,140,150,4580,1
2018,20180101181678,1,1,11681600.22161900,9999,9999,99999,99
2018,20180101181683,1,1,5635394.408149000,9999,9999,99999,99
2018,20180101181687,1,1,3575970.930711000,140,201,6990,1
2018,20180101181691,1,1,4456358.526249000,124,300,9470,0
2018,20180101181703,1,1,19481926.07942200,180,260,8590,0
2018,20180101181710,1,1,5851695.061980000,9999,9999,99999,99
2018,20180101181732,1,1,6721889.239821000,126,160,4770,0
2018,20180101181735,1,1,1281358.800687000,9999,9999,99999,99
2018,20180101181738,1,1,9922213.338676000,9999,9999,99999,99
2018,20180101181768,1,1,2719484.313093000,125,240,7860,0
2018,20180101181771,1,1,5914948.520889000,9999,9999,99999,99
2018,20180101181790,1,1,23683766.75401400,9999,9999,99999,99
2018,20180101181792,1,1,7515639.310050000,9999,9999,99999,99
2018,20180101181809,1,1,8988835.474159000,110,100,170,1
2018,20180101181816,1,1,1835777.652274000,131,300,9470,0
2018,20180101181835,1,1,2526067.640568000,9999,9999,99999,99
2018,20180101181844,1,1,2760675.313770000,9999,9999,99999,99
2018,20180101181859,1,1,5768071.109618000,140,210,7070,99
2018,20180101181866,1,1,3839267.583271000,9999,9999,99999,99
2018,20180101181870,1,1,26146029.43304400,140,160,4970,0
2018,20180101181872,1,1,7226502.641832000,131,300,9470,0
2018,20180101181888,1,1,2036295.701684000,9999,9999,99999,99
2018,20180101181899,1,1,7972285.436248000,140,160,5070,0
2018,20180101181929,1,1,6279972.241326000,9999,9999,99999,99
2018,20180101181930,1,1,5565603.588535000,110,231,7580,99
2018,20180101181935,1,1,8853085.620990000,150,160,5390,99
2018,20180101181937,1,1,5829205.607474000,125,240,7860,0
2018,20180101181968,1,1,12603484.39681200,124,220,7270,99
2018,20180101181976,1,1,1475429.880677000,130,251,8170,0
2018,20180101181994,1,1,2035624.267135000,9999,9999,99999,99
2018,20180101181995,1,1,7246302.351106000,125,240,7860,1
2018,20180101182000,1,1,16939861.13986600,120,230,7570,0
